,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Cluster
455,UnderGraduate,Partner,66664.0,0.0,0.0,2012-09-25,78.0,398.0,96.0,447.0,220.0,96.0,32.0,1.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2
456,Graduation,Partner,60597.0,0.0,1.0,2014-01-01,2.0,522.0,0.0,257.0,32.0,16.0,66.0,4.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,60.0,1
457,Graduation,Single,70165.0,0.0,0.0,2013-09-22,60.0,161.0,0.0,253.0,199.0,191.0,122.0,1.0,3.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0
458,PhD,Single,50520.0,0.0,1.0,2014-01-28,25.0,112.0,0.0,6.0,2.0,1.0,14.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
459,Graduation,Partner,80124.0,0.0,0.0,2014-06-26,47.0,483.0,84.0,398.0,205.0,84.0,241.0,1.0,3.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1
460,Graduation,Partner,33183.0,1.0,0.0,2014-02-24,46.0,7.0,5.0,39.0,17.0,15.0,37.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2
461,PhD,Single,66582.0,0.0,0.0,2014-03-03,83.0,789.0,25.0,420.0,16.0,38.0,0.0,1.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1
462,PhD,Partner,75261.0,0.0,0.0,2013-04-23,17.0,1239.0,17.0,413.0,23.0,34.0,17.0,1.0,5.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,69.0,0
463,Graduation,Single,31880.0,1.0,0.0,2012-10-31,13.0,4.0,1.0,5.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1
464,Graduation,Partner,53790.0,0.0,2.0,2014-03-06,86.0,335.0,42.0,127.0,28.0,5.0,5.0,3.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
465,PhD,Partner,49269.0,1.0,0.0,2012-08-15,92.0,639.0,8.0,166.0,11.0,8.0,58.0,3.0,7.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2
466,Graduation,Partner,61456.0,0.0,1.0,2013-03-27,47.0,563.0,76.0,384.0,84.0,192.0,89.0,4.0,6.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2
467,Graduation,Partner,37406.0,1.0,0.0,2013-10-10,18.0,2.0,0.0,8.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0
468,PhD,Partner,56937.0,1.0,0.0,2012-08-04,81.0,746.0,8.0,125.0,11.0,8.0,8.0,7.0,8.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,2
469,Graduation,Partner,38415.0,1.0,1.0,2013-01-02,91.0,22.0,1.0,13.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2
470,Graduation,Single,20518.0,1.0,0.0,2014-05-18,58.0,4.0,1.0,6.0,4.0,1.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1
471,Graduation,Partner,62503.0,0.0,1.0,2013-02-18,40.0,478.0,0.0,193.0,110.0,75.0,117.0,4.0,8.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0
472,PhD,Single,41644.0,1.0,1.0,2014-05-09,67.0,20.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2
473,Master,Partner,55842.0,0.0,1.0,2014-05-23,19.0,451.0,0.0,39.0,0.0,4.0,24.0,1.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
474,PhD,Partner,62010.0,0.0,1.0,2012-10-23,93.0,371.0,22.0,39.0,6.0,0.0,92.0,4.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
475,Graduation,Partner,41124.0,1.0,0.0,2012-10-31,41.0,281.0,7.0,84.0,15.0,0.0,119.0,7.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2
476,Master,Partner,38961.0,1.0,0.0,2013-12-30,60.0,19.0,7.0,19.0,0.0,1.0,24.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
477,Master,Single,37760.0,1.0,0.0,2013-08-11,54.0,26.0,3.0,13.0,2.0,10.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
478,Graduation,Single,32233.0,1.0,0.0,2012-08-19,26.0,138.0,15.0,35.0,25.0,11.0,72.0,2.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,2
479,Graduation,Partner,43057.0,0.0,1.0,2013-10-30,30.0,213.0,2.0,44.0,0.0,2.0,5.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2
480,Master,Partner,83151.0,0.0,0.0,2012-10-10,93.0,407.0,28.0,100.0,120.0,74.0,18.0,1.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
481,PhD,Single,78825.0,0.0,0.0,2012-09-14,35.0,483.0,74.0,114.0,169.0,37.0,18.0,1.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0
482,Master,Partner,65104.0,0.0,1.0,2013-11-14,4.0,738.0,0.0,232.0,13.0,20.0,50.0,2.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2
483,Graduation,Partner,60093.0,0.0,1.0,2013-06-26,92.0,502.0,12.0,109.0,16.0,6.0,90.0,2.0,7.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0
484,Graduation,Partner,14045.0,1.0,0.0,2014-01-26,24.0,11.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1
485,UnderGraduate,Single,28457.0,0.0,0.0,2012-10-28,96.0,24.0,1.0,108.0,29.0,29.0,14.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1
486,PhD,Partner,78952.0,0.0,1.0,2012-09-24,11.0,1170.0,19.0,594.0,99.0,76.0,134.0,2.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2
487,Graduation,Single,46310.0,1.0,0.0,2012-12-03,99.0,185.0,2.0,88.0,15.0,5.0,14.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2
488,Graduation,Partner,76005.0,0.0,0.0,2013-02-22,72.0,983.0,20.0,389.0,240.0,50.0,40.0,1.0,3.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0
489,Master,Single,58308.0,0.0,1.0,2013-01-12,77.0,691.0,0.0,69.0,10.0,0.0,130.0,4.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
490,PhD,Single,55614.0,0.0,0.0,2013-11-27,85.0,504.0,13.0,131.0,8.0,0.0,26.0,1.0,9.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,1
491,Master,Single,59432.0,0.0,1.0,2013-04-13,88.0,317.0,25.0,265.0,25.0,19.0,12.0,3.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0
492,Graduation,Single,55563.0,0.0,1.0,2014-04-05,22.0,29.0,1.0,9.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1
493,PhD,Partner,78642.0,0.0,1.0,2013-04-21,83.0,1396.0,0.0,322.0,46.0,35.0,17.0,1.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2
494,PhD,Partner,67911.0,0.0,1.0,2014-05-22,63.0,529.0,0.0,356.0,63.0,28.0,0.0,3.0,6.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2
495,Graduation,Partner,65275.0,0.0,0.0,2013-04-03,9.0,388.0,14.0,218.0,91.0,14.0,21.0,1.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2
496,Graduation,Partner,27203.0,1.0,1.0,2012-08-06,92.0,13.0,2.0,21.0,4.0,0.0,24.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0
497,Master,Partner,48330.0,0.0,1.0,2013-11-15,2.0,28.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2
498,UnderGraduate,Partner,24279.0,0.0,0.0,2012-12-29,6.0,16.0,36.0,21.0,20.0,62.0,108.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2
499,PhD,Partner,64355.0,1.0,0.0,2012-08-24,66.0,1047.0,0.0,140.0,67.0,38.0,153.0,2.0,4.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2
500,Master,Partner,50943.0,0.0,1.0,2013-06-21,49.0,31.0,0.0,7.0,2.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0
501,Graduation,Single,53653.0,0.0,0.0,2012-11-07,29.0,815.0,10.0,239.0,28.0,10.0,108.0,2.0,10.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0
502,Graduation,Partner,65665.0,0.0,1.0,2013-12-02,77.0,225.0,162.0,387.0,106.0,36.0,29.0,1.0,5.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2
503,Graduation,Single,81217.0,0.0,0.0,2013-07-19,77.0,493.0,70.0,324.0,146.0,40.0,84.0,1.0,3.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2
504,Graduation,Partner,34935.0,0.0,0.0,2013-06-21,71.0,34.0,4.0,66.0,3.0,10.0,20.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
505,Graduation,Single,61250.0,0.0,1.0,2012-12-16,49.0,382.0,138.0,65.0,60.0,26.0,59.0,6.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2
506,PhD,Partner,39665.0,1.0,0.0,2013-05-25,97.0,127.0,1.0,56.0,0.0,1.0,31.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,1
507,Graduation,Single,60152.0,0.0,1.0,2013-03-28,6.0,325.0,83.0,300.0,86.0,58.0,91.0,1.0,6.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1
508,Graduation,Partner,48920.0,0.0,2.0,2013-10-20,93.0,238.0,17.0,68.0,8.0,10.0,6.0,3.0,6.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0
509,Master,Partner,89120.0,0.0,0.0,2014-03-17,78.0,1168.0,92.0,408.0,72.0,129.0,55.0,1.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,2
510,PhD,Partner,44124.0,0.0,1.0,2013-05-11,62.0,284.0,0.0,55.0,0.0,6.0,52.0,4.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0
511,Master,Single,81169.0,0.0,0.0,2013-04-14,47.0,1288.0,20.0,613.0,80.0,61.0,27.0,1.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1
512,Graduation,Partner,36443.0,1.0,1.0,2013-02-03,9.0,65.0,0.0,46.0,4.0,3.0,20.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2
513,Graduation,Single,26095.0,1.0,0.0,2013-06-30,77.0,11.0,7.0,9.0,3.0,1.0,11.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1
514,Graduation,Partner,71367.0,0.0,0.0,2013-08-23,24.0,227.0,23.0,389.0,42.0,21.0,75.0,1.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2
515,Master,Partner,80184.0,0.0,0.0,2014-03-01,19.0,1035.0,134.0,670.0,25.0,38.0,0.0,1.0,6.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,80.0,1
516,Graduation,Single,30630.0,1.0,1.0,2014-01-27,67.0,27.0,1.0,12.0,2.0,0.0,10.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0
517,Master,Single,73454.0,0.0,0.0,2014-03-01,95.0,982.0,73.0,351.0,56.0,14.0,175.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0
518,Graduation,Partner,42691.0,0.0,0.0,2013-08-16,48.0,179.0,2.0,64.0,38.0,17.0,58.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2
519,Graduation,Partner,70503.0,0.0,0.0,2012-09-30,73.0,1379.0,33.0,216.0,0.0,33.0,66.0,1.0,2.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,71.0,1
520,Graduation,Partner,25545.0,1.0,0.0,2012-09-08,35.0,32.0,1.0,64.0,16.0,12.0,85.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0
521,Graduation,Partner,32880.0,1.0,0.0,2012-12-04,76.0,8.0,4.0,15.0,7.0,6.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1
522,PhD,Partner,77863.0,0.0,0.0,2013-11-27,20.0,881.0,38.0,319.0,16.0,25.0,12.0,1.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
523,Master,Partner,50353.0,0.0,0.0,2014-06-08,72.0,141.0,15.0,153.0,67.0,31.0,35.0,1.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2
524,Graduation,Single,61839.0,0.0,0.0,2012-08-12,20.0,1000.0,155.0,379.0,224.0,17.0,120.0,1.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
525,PhD,Partner,49154.0,1.0,1.0,2013-11-03,69.0,206.0,10.0,67.0,30.0,27.0,71.0,6.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
526,UnderGraduate,Single,47682.0,0.0,1.0,2013-02-15,80.0,162.0,61.0,83.0,97.0,57.0,61.0,4.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2
527,Graduation,Single,72679.0,0.0,1.0,2013-09-18,65.0,619.0,54.0,260.0,127.0,54.0,54.0,1.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
528,Master,Partner,57954.0,1.0,1.0,2014-06-18,52.0,456.0,4.0,24.0,0.0,0.0,9.0,7.0,8.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,1
529,Graduation,Partner,65316.0,1.0,1.0,2013-04-24,65.0,112.0,6.0,92.0,3.0,9.0,38.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2
530,Graduation,Single,28567.0,1.0,0.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2
531,Master,Partner,47352.0,0.0,1.0,2013-04-11,70.0,172.0,12.0,112.0,8.0,0.0,15.0,4.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1
532,Graduation,Partner,44931.0,0.0,1.0,2014-01-18,0.0,78.0,0.0,11.0,0.0,0.0,7.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2
533,Graduation,Single,76982.0,0.0,0.0,2014-02-15,19.0,464.0,151.0,292.0,65.0,60.0,30.0,1.0,8.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,57.0,0
534,UnderGraduate,Partner,57247.0,0.0,1.0,2013-08-08,50.0,99.0,4.0,32.0,37.0,54.0,6.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0
535,Master,Single,22944.0,1.0,0.0,2013-12-23,67.0,19.0,3.0,19.0,4.0,5.0,26.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2
536,UnderGraduate,Partner,25315.0,1.0,0.0,2013-11-07,46.0,1.0,9.0,8.0,11.0,3.0,22.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
537,Graduation,Single,43638.0,0.0,1.0,2012-08-06,37.0,63.0,10.0,83.0,7.0,19.0,19.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1
538,PhD,Single,42710.0,1.0,0.0,2012-11-28,38.0,252.0,3.0,42.0,4.0,3.0,102.0,2.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
539,PhD,Partner,84169.0,0.0,0.0,2013-08-07,9.0,1478.0,19.0,403.0,0.0,19.0,0.0,1.0,7.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,0
540,Graduation,Partner,54058.0,0.0,1.0,2013-06-04,56.0,198.0,18.0,252.0,32.0,108.0,54.0,2.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
541,UnderGraduate,Partner,24683.0,1.0,0.0,2014-03-08,98.0,8.0,4.0,10.0,6.0,7.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0
542,Graduation,Single,85620.0,0.0,0.0,2014-01-07,68.0,416.0,46.0,925.0,60.0,107.0,46.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,2
543,Graduation,Partner,47850.0,1.0,0.0,2013-12-03,72.0,42.0,7.0,43.0,20.0,12.0,10.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2
544,Graduation,Partner,19514.0,1.0,1.0,2014-01-26,47.0,14.0,3.0,21.0,2.0,1.0,28.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,56.0,1
545,Master,Partner,27159.0,1.0,1.0,2014-03-29,33.0,17.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
546,UnderGraduate,Single,39548.0,1.0,1.0,2014-03-31,87.0,15.0,4.0,10.0,3.0,4.0,18.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1
547,Graduation,Single,21474.0,1.0,0.0,2014-04-08,0.0,6.0,16.0,24.0,11.0,0.0,34.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,0
548,PhD,Single,60504.0,0.0,1.0,2014-02-07,73.0,458.0,0.0,24.0,6.0,4.0,34.0,2.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0
549,Graduation,Partner,22419.0,0.0,0.0,2013-04-18,74.0,30.0,3.0,47.0,19.0,21.0,42.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
550,Master,Partner,81698.0,0.0,0.0,2013-11-06,4.0,179.0,28.0,520.0,111.0,123.0,47.0,1.0,3.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0
551,Graduation,Partner,43462.0,1.0,1.0,2012-09-12,50.0,90.0,17.0,97.0,15.0,6.0,15.0,6.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0
552,PhD,Single,54880.0,1.0,0.0,2013-03-01,57.0,308.0,85.0,137.0,102.0,45.0,118.0,2.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0
553,Graduation,Partner,79908.0,0.0,0.0,2013-04-05,30.0,557.0,129.0,761.0,29.0,185.0,111.0,1.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0
554,UnderGraduate,Partner,15315.0,0.0,0.0,2013-08-03,27.0,7.0,4.0,13.0,15.0,8.0,17.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1
555,Graduation,Partner,87771.0,0.0,1.0,2013-05-22,61.0,1492.0,38.0,287.0,50.0,57.0,33.0,1.0,5.0,10.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,65.0,2
556,Graduation,Partner,33039.0,1.0,0.0,2013-09-09,4.0,30.0,8.0,12.0,8.0,8.0,12.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1
557,Graduation,Single,81741.0,0.0,0.0,2013-06-16,75.0,249.0,153.0,940.0,58.0,134.0,38.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1
558,Master,Partner,71499.0,0.0,1.0,2013-06-25,12.0,465.0,25.0,132.0,136.0,0.0,37.0,2.0,8.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0
559,UnderGraduate,Partner,62466.0,0.0,1.0,2014-01-15,13.0,129.0,129.0,259.0,168.0,121.0,83.0,5.0,6.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1
560,PhD,Single,48799.0,0.0,1.0,2013-11-05,9.0,174.0,18.0,81.0,28.0,6.0,24.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
561,PhD,Partner,52157.0,0.0,1.0,2014-06-07,48.0,189.0,2.0,29.0,3.0,2.0,40.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1
562,Graduation,Single,66565.0,0.0,1.0,2012-12-05,80.0,747.0,10.0,161.0,65.0,40.0,42.0,4.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2
563,Master,Partner,29298.0,1.0,1.0,2013-09-07,60.0,6.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1
564,Graduation,Single,47691.0,0.0,1.0,2013-07-05,43.0,14.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2
565,Graduation,Partner,38200.0,1.0,1.0,2012-12-07,19.0,12.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
566,Graduation,Partner,44989.0,0.0,1.0,2012-09-12,26.0,98.0,0.0,106.0,49.0,10.0,106.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2
567,PhD,Partner,38443.0,1.0,1.0,2014-01-27,58.0,32.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
568,UnderGraduate,Single,38593.0,1.0,0.0,2013-09-13,42.0,51.0,12.0,49.0,17.0,24.0,24.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0
569,PhD,Partner,64413.0,0.0,1.0,2013-08-01,27.0,200.0,5.0,44.0,0.0,10.0,20.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
570,Master,Partner,36959.0,1.0,0.0,2013-10-02,56.0,25.0,6.0,25.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2
571,PhD,Partner,61996.0,0.0,1.0,2013-01-31,27.0,1050.0,12.0,144.0,0.0,0.0,24.0,3.0,6.0,4.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,47.0,0
572,Graduation,Partner,51287.0,1.0,1.0,2014-04-01,10.0,117.0,0.0,22.0,13.0,0.0,30.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
573,Graduation,Partner,13260.0,1.0,1.0,2013-08-23,48.0,9.0,4.0,17.0,10.0,2.0,7.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
574,PhD,Partner,47472.0,1.0,1.0,2013-09-16,39.0,56.0,0.0,11.0,0.0,0.0,8.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0
575,Master,Partner,54603.0,1.0,1.0,2013-07-09,85.0,145.0,13.0,46.0,17.0,2.0,4.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2
576,PhD,Partner,45207.0,1.0,1.0,2012-11-10,64.0,203.0,0.0,10.0,0.0,0.0,2.0,5.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0
577,Graduation,Partner,40689.0,0.0,1.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
578,UnderGraduate,Partner,47821.0,1.0,1.0,2013-10-20,54.0,9.0,0.0,16.0,6.0,6.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
579,Master,Partner,27450.0,0.0,0.0,2013-04-15,57.0,37.0,12.0,23.0,8.0,11.0,52.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2
580,Graduation,Partner,39453.0,1.0,0.0,2014-04-03,64.0,46.0,0.0,7.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0
581,UnderGraduate,Partner,26850.0,1.0,1.0,2014-04-18,10.0,31.0,1.0,13.0,7.0,2.0,9.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2
582,Graduation,Single,79800.0,0.0,0.0,2012-09-23,65.0,1060.0,21.0,530.0,32.0,0.0,224.0,1.0,5.0,11.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,69.0,0
583,Master,Partner,61794.0,0.0,1.0,2013-09-14,74.0,264.0,47.0,188.0,54.0,47.0,11.0,2.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
584,Graduation,Partner,53863.0,0.0,1.0,2014-05-17,4.0,399.0,4.0,30.0,6.0,4.0,30.0,3.0,7.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,0
585,Graduation,Partner,24221.0,0.0,0.0,2013-08-20,94.0,8.0,9.0,9.0,2.0,5.0,22.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
586,PhD,Single,39684.0,1.0,0.0,2012-10-12,41.0,19.0,0.0,35.0,6.0,4.0,17.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,1
